matchedPattern,context,lineNumber,columnNumber,publicationName
rs1667301,SNP_A-2234256	rs1667301	2q37.1	mRNA evidence	–	C/T	0.488	0.642	–...,93,15,Behav_Genet_2008_Jul_22_38(4)_361-371.txt
rs1667301,SNP_A-2234256	rs1667301	2q37.1	mRNA evidence	–	C/T	0.488	0.642	–...,93,15,Behav_Genet_2008_Jul_22_38(4)_361-371.txt
