matchedPattern,context,lineNumber,columnNumber,publicationName
2.4.1.299,...de 5-O-glucosyltransferase (acyl-glucose)	k17194 (2.4.1.299)	1	0	0,160,72,BMC_Genomics_2016_Nov_9_17_897.txt
2.4.1.299,...de 5-O-glucosyltransferase (acyl-glucose)	k17194 (2.4.1.299)	1	0	0,160,72,BMC_Genomics_2016_Nov_9_17_897.txt
