matchedPattern,context,lineNumber,columnNumber,publicationName
rs10493062,rs10493062	Major CHD	0.011	0.051,154,3,BMC_Med_Genet_2007_Sep_19_8(Suppl_1)_S5.txt
rs10493062,rs10493062	Major CHD	0.011	0.051,154,3,BMC_Med_Genet_2007_Sep_19_8(Suppl_1)_S5.txt
