matchedPattern,context,lineNumber,columnNumber,publicationName
5.4.21.16,5.4.21.16	6.2	AAK25836.1	malate synthase	1.0E-102,87,1,BMC_Genomics_2011_May_24_12_264.txt
5.4.21.16,5.4.21.16	6.2	AAK25836.1	malate synthase	1.0E-102,87,1,BMC_Genomics_2011_May_24_12_264.txt
