matchedPattern,context,lineNumber,columnNumber,publicationName
NX_Q9BWV7,4	NX_Q9BWV7	TTLL2	likely unobservable	Testis > …	Mal...,78,3,Database_(Oxford)_2016_May_12_2016_baw070.txt
NX_Q9BWV7,"...wo other entries, NX_Q8N5Q1 (FAM71E2, line 9) and NX_Q9BWV7 (TTLL2, line 4), there is also a clear c...",93,56,Database_(Oxford)_2016_May_12_2016_baw070.txt
NX_Q9BWV7,"...tly reclassified it as protein-coding. Therefore, NX_Q9BWV7 is currently under examination by UniPro...",93,721,Database_(Oxford)_2016_May_12_2016_baw070.txt
NX_Q9BWV7,"...SLSFTSR, which uniquely maps on the corresponding NX_Q9BWV7 entry has been identified in testis by m...",93,936,Database_(Oxford)_2016_May_12_2016_baw070.txt
NX_Q9BWV7,NX_Q9BWV7	TTLL2	PE1? (in progress)	Testis,114,1,Database_(Oxford)_2016_May_12_2016_baw070.txt
