matchedPattern,context,lineNumber,columnNumber,publicationName
PDOC00347,PDOC00347 Photosystem 1 psaA and psaB	1. PS00419 –...,127,3,BMC_Bioinformatics_2004_Sep_9_5_127.txt
PDOC00347,PDOC00347 Photosystem 1 psaA and psaB	1. PS00419 –...,127,3,BMC_Bioinformatics_2004_Sep_9_5_127.txt
