matchedPattern,context,lineNumber,columnNumber,publicationName
rs3211371,CYP2B6	rs3211371	G	1	0.0	0.0	NA	NA,126,8,Hum_Genomics_2011_May_1_5(4)_265-282.txt
rs3211371,CYP2B6	rs3211371	G	1	0.0	0.0	NA	NA,126,8,Hum_Genomics_2011_May_1_5(4)_265-282.txt
