matchedPattern,context,lineNumber,columnNumber,publicationName
EOG64B8H5,EOG64B8H5	CLIP-A10	CLIP serine protease	816	29.218...,308,1,Genome_Biol_2015_Apr_24_16(1)_83.txt
EOG64B8H5,EOG64B8H5	CLIP-A10	CLIP serine protease	792	14.259...,379,1,Genome_Biol_2015_Apr_24_16(1)_83.txt
