matchedPattern,context,lineNumber,columnNumber,publicationName
NP_389224.1,"...Bacillus subtilis (Bsub, NCBI Reference Sequence: NP_389224.1), Pseudomonas aeruginosa (Paer, YP_791...",16,1020,Nucleic_Acids_Res_2016_Jun_2_44(10)_4785-4806.txt
NP_389224.1,...an the annotated Ku protein from B. subtilis 168 (NP_389224.1) from the methionine at position 18 to...,24,113,Nucleic_Acids_Res_2016_Jun_2_44(10)_4785-4806.txt
NP_389224.1,"...ition 311 (amino acids positions of the annotated NP_389224.1, see Results) and was tagged by a hexa...",24,231,Nucleic_Acids_Res_2016_Jun_2_44(10)_4785-4806.txt
NP_389224.1,"...ΔexCter) or M18 to P256 (Ku core) sequence of the NP_389224.1 protein, see Figure 1) were amplified ...",26,146,Nucleic_Acids_Res_2016_Jun_2_44(10)_4785-4806.txt
NP_389224.1,...sponding to the sequence from P277 to S311 of the NP_389224.1 annotated protein) was obtained in two...,30,255,Nucleic_Acids_Res_2016_Jun_2_44(10)_4785-4806.txt
NP_389224.1,The B. subtilis Ku protein (NP_389224.1) is composed of a 236 residues long Ku...,117,29,Nucleic_Acids_Res_2016_Jun_2_44(10)_4785-4806.txt
