matchedPattern,context,lineNumber,columnNumber,publicationName
PDOC00380,"...in (Calcium/lipid-binding domain, CaLB)	PDOC51210;PDOC00380",30,64,Genome_Biol_Evol_2016_Jun_29_8(7)_2118-2132.txt
PDOC00380,"...in (Calcium/lipid-binding domain, CaLB)	PDOC51210;PDOC00380",30,64,Genome_Biol_Evol_2016_Jun_29_8(7)_2118-2132.txt
