matchedPattern,context,lineNumber,columnNumber,publicationName
rs10167387,"43	rs10167387, [2], intron	1.87E-292	0.225	Y (9/9)	rs...",174,5,BMC_Genomics_2014_Jun_27_15(1)_532.txt
rs10167387,"43	rs10167387, [2], intron	1.87E-292	0.225	Y (9/9)	rs...",174,5,BMC_Genomics_2014_Jun_27_15(1)_532.txt
