matchedPattern,context,lineNumber,columnNumber,publicationName
NP_192720.2,"...AEA03281), B. oleracea (ADP76654.1), Arabidopsis (NP_192720.2) and Populus (XP_0023067). (B) Dendrog...",55,138,PLoS_One_2012_Sep_11_7(9)_e44145.txt
NP_192720.2,"...nces used are Brassica rapa AEA03281, Arabidopsis NP_192720.2(AtTT8), Brassica napus ABY59772.1, Bra...",55,641,PLoS_One_2012_Sep_11_7(9)_e44145.txt
NP_192720.2,"...Figure 4): Brassica rapa (AEA03281), Arabidopsis (NP_192720.2), Brassica napus (ABY59772.1), Brassic...",113,98,PLoS_One_2012_Sep_11_7(9)_e44145.txt
