matchedPattern,context,lineNumber,columnNumber,publicationName
PS50818,"...tein (N-terminus: SM00306, IPR003587; C-terminus: PS50818, IPR002203) at its C-terminus, which is th...",100,1124,BMC_Microbiol_2003_Feb_6_3_3.txt
PS50818,"...tein (N-terminus: SM00306, IPR003587; C-terminus: PS50818, IPR002203) at its C-terminus, which is th...",100,1124,BMC_Microbiol_2003_Feb_6_3_3.txt
