matchedPattern,context,lineNumber,columnNumber,publicationName
NC_000014.9,"NC_000014.9:g.103699416G>A		Ren et al., 2012	340	C...",151,2,Front_Genet_2014_Nov_14_5_391.txt
NC_000014.9,801	CALM1	14q32.11	NC_000014.9	plus	7	114180,217,20,PLoS_One_2015_May_13_10(5)_e0123691.txt
NC_000014.9,5693	PSMB5	14q11.2	NC_000014.9	minus	5	600306,223,20,PLoS_One_2015_May_13_10(5)_e0123691.txt
NC_000014.9,1603	DAD1	14q11.2	NC_000014.9	minus	3	600243,230,19,PLoS_One_2015_May_13_10(5)_e0123691.txt
NC_000014.9,2079	ERH	14q24.1	NC_000014.9	minus	4	601191,234,18,PLoS_One_2015_May_13_10(5)_e0123691.txt
NC_000014.9,4738	NEDD8	14q12	NC_000014.9	minus	4	603171,245,18,PLoS_One_2015_May_13_10(5)_e0123691.txt
NC_000014.9,8892	EIF2B2	14q24.3	NC_000014.9	plus	8	606454,255,21,PLoS_One_2015_May_13_10(5)_e0123691.txt
