matchedPattern,context,lineNumber,columnNumber,publicationName
NP_001716.2,... (Pristionchus.org). A human BPI protein (GenBank NP_001716.2) was used as outgroup. Bootstrap value...,97,293,eLife_3_e03229.txt
NP_001716.2,"...d blood of term low birth weight human newborns , NP_001716.2; http://www.ncbi.nlm.nih.gov/protein/N...",313,265,eLife_3_e03229.txt
NP_001716.2,"... NP_001716.2; http://www.ncbi.nlm.nih.gov/protein/NP_001716.2, Publicly available at GenBank (http:/...",313,314,eLife_3_e03229.txt
