matchedPattern,context,lineNumber,columnNumber,publicationName
Q7Z7H3,"...ologs. Accession numbers of sequences are: Human, Q7Z7H3; Macaque, F7CRL9; Mouse, B9EKE5; Panda, XP_...",35,106,PLoS_One_2014_Jan_27_9(1)_e86476.txt
Q7Z7H3,"...ologs. Accession numbers of sequences are: Human, Q7Z7H3; Macaque, F7CRL9; Mouse, B9EKE5; Panda, XP_...",35,106,PLoS_One_2014_Jan_27_9(1)_e86476.txt
