matchedPattern,context,lineNumber,columnNumber,publicationName
rs254,Narita et al. [88]	Japan	Japanese	LPL	rs25,321,39,Eur_Urol_2014_Oct_66(4)_752-768.txt
rs254,Narita et al. [88]	Japan	Japanese	LPL	rs25,321,39,Eur_Urol_2014_Oct_66(4)_752-768.txt
