matchedPattern,context,lineNumber,columnNumber,publicationName
rs2180341,rs2180341	6	[30]	L	rs8051542	16	[23]	L,87,1,AMIA_Jt_Summits_Transl_Sci_Proc_2014_Apr_7_2014_83-89.txt
rs2180341,rs2180341	6	[30]	L	rs8051542	16	[23]	L,87,1,AMIA_Jt_Summits_Transl_Sci_Proc_2014_Apr_7_2014_83-89.txt
