matchedPattern,context,lineNumber,columnNumber,publicationName
RRID:CVCL-0291,"...er and breast cancer cells, respectively. HCT116 (RRID:CVCL-0291), MDA-MB231 (RRID:CVCL-0062), MCF7 ...",404,153,eLife_5_e14734.txt
RRID:CVCL-0062,"...respectively. HCT116 (RRID:CVCL-0291), MDA-MB231 (RRID:CVCL-0062), MCF7 (RRID:CVCL-0031), LoVo (RRID...",404,181,eLife_5_e14734.txt
RRID:CVCL-0031,"...RID:CVCL-0291), MDA-MB231 (RRID:CVCL-0062), MCF7 (RRID:CVCL-0031), LoVo (RRID:CVCL-0399), SW480 (RRI...",404,204,eLife_5_e14734.txt
RRID:CVCL-0399,"...31 (RRID:CVCL-0062), MCF7 (RRID:CVCL-0031), LoVo (RRID:CVCL-0399), SW480 (RRID:CVCL-0546), SW620 (RR...",404,227,eLife_5_e14734.txt
RRID:CVCL-0546,"...7 (RRID:CVCL-0031), LoVo (RRID:CVCL-0399), SW480 (RRID:CVCL-0546), SW620 (RRID:CVCL-0547), Colo205 (...",404,251,eLife_5_e14734.txt
RRID:CVCL-0547,"... (RRID:CVCL-0399), SW480 (RRID:CVCL-0546), SW620 (RRID:CVCL-0547), Colo205 (RRID:CVCL-0218) were pur...",404,275,eLife_5_e14734.txt
RRID:CVCL-0218,"...RRID:CVCL-0546), SW620 (RRID:CVCL-0547), Colo205 (RRID:CVCL-0218) were purchased from ATCC. MDA-MB23...",404,301,eLife_5_e14734.txt
RRID:CVCL-D257,...0218) were purchased from ATCC. MDA-MB231 D3H2LN (RRID:CVCL-D257) were purchased from PerkinElmer. A...,404,361,eLife_5_e14734.txt
