matchedPattern,context,lineNumber,columnNumber,publicationName
NP_571961.1,"... binding protein (C/EBP), gamma	Danio rerio	2E-17	NP_571961.1",69,74,BMC_Genomics_2007_Jun_8_8_157.txt
NP_571961.1,"... binding protein (C/EBP), gamma	Danio rerio	2E-17	NP_571961.1",105,74,BMC_Genomics_2007_Jun_8_8_157.txt
NP_571961.1,"... binding protein (C/EBP), gamma	Danio rerio	2E-17	NP_571961.1",113,74,BMC_Genomics_2007_Jun_8_8_157.txt
