matchedPattern,context,lineNumber,columnNumber,publicationName
p.S45fsX67,...an early termination signal 22 codons downstream (p.S45fsX67) and the second leads to a stop codon 5...,12,1285,BMC_Med_Genet_2008_Jun_20_9_54.txt
p.S45fsX67,...with a premature stop codon 22 codons downstream (p.S45fsX67). The other was an adenine deletion at ...,217,278,BMC_Med_Genet_2008_Jun_20_9_54.txt
p.S45fsX67,"...ovel amino acids before the premature stop codon (p.S45fsX67). The other was an A deletion, c.925del...",246,157,BMC_Med_Genet_2008_Jun_20_9_54.txt
