matchedPattern,context,lineNumber,columnNumber,publicationName
PS01096,...IASE: PS50072; FKBP_PPIASE: PS50059; PPIC_PPIASE: PS01096; PROKAR_LIPOPR: PS51257; TPR: PS50005; FHA...,101,230,PLoS_Negl_Trop_Dis_2010_Jun_29_4(6)_e729.txt
PS01096,...IASE: PS50072; FKBP_PPIASE: PS50059; PPIC_PPIASE: PS01096; PROKAR_LIPOPR: PS51257; TPR: PS50005; FHA...,101,230,PLoS_Negl_Trop_Dis_2010_Jun_29_4(6)_e729.txt
