matchedPattern,count
P50AR0,70
D3S123,70
P13645,69
G3T4G4,69
C7H6O3,69
D1S159,69
C9H3O6,69
O3SCF3,69
B6A4C1,69
P28482,69
H2AT12,69
P12110,69
P18206,69
P62258,68
F3P146,68
P06748,68
D6S285,68
V6T1Z4,67
S3Y118,67
C5LC00,67
B6CD11,67
P27459,67
P11010,67
P60DK0,67
D6S100,67
P44416,66
B6D2F2,66
C4CP03,66
P26038,66
P01859,66
B1B2G1,66
C8H5N2,66
P60MD0,65
C6H4N5,65
N2L3G1,65
P30041,65
C6H4O2,65
C1C2T2,64
C2N2H2,64
P11310,64
H2H318,63
P25705,63
D4ECR1,63
C5PY00,63
P04179,63
P62993,62
P01DK0,62
N1N2N3,62
P22626,62
P10002,62
P35527,62
C3H6O3,62
Y1S2P3T4S5,62
H2AK15,62
Q8WZ42,62
P01034,62
A2B2O7,62
P36955,62
P02788,61
C1C2C3,61
U2GPS0,61
P00338,61
P12814,61
P02489,61
C3H8N2,61
D9S180,61
C5TB00,60
P03093,60
C9H8O4,60
C4MT00,60
P18510,60
P50NS0,60
P10810,60
P50MH0,60
P10010,60
P02760,60
C3H3N2,59
C5AN00,59
P02652,59
C4CC08,59
P22103,59
C5H5N3,59
V6T1Z3,59
P55072,58
T2N0M1,58
A9CG74,58
P555C4,58
P04114,58
P2RY10,58
C7H6O4,58
D9S162,58
D2S136,58
E6E7L2,58
C4NR05,58
C4CP04,58
C9H6N3,58
P02743,58
D6S273,58
P3CSK4,58
C4CP05,57
C4S188,57
P08603,57
P10110,57
C6ORF2,57
D9S942,57
A3G3S3,57
C6ORF1,57
C4CC03,57
D3S127,57
C0NR00,57
C4H5O4,57
B6CBF1,57
P02753,57
Q21861,56
H2AK13,56
C5H9O2,56
D1S269,56
C7H5N2,56
Q9QXC6,56
P04040,56
P10210,56
P02769,56
P61978,56
P13796,56
P10710,56
D8S321,56
H3C110,56
C9H4O6,55
D5S721,55
P01HD0,55
P815X2,55
P01860,55
P09382,55
P11110,55
P30CA6,55
P12010,55
C4SC02,55
G6PDH2,55
C6H3N2,55
H3T118,55
D2S294,55
S1G200,55
C5H5N5,55
C7H9N3,55
P14210,55
D1S214,55
P01033,55
P10310,55
O43707,55
H2AXS1,55
T2R116,55
D6S251,55
D3S158,55
C3H2O4,54
P68363,54
P61626,54
P01871,54
Q32851,54
C4OB01,54
Q16539,54
P09493,54
C7H4O6,54
Q08380,54
C4AN00,54
P35232,54
D1S468,53
C9H8O2,53
C5NR01,53
C0AN00,53
P30CA2,53
P62736,53
Q9HJ63,53
P02001,53
D8S113,53
P07724,53
M5G1X8,53
P10610,53
P328L3,53
P10410,53
D6S158,53
C4SC03,53
O2CCH2,53
A1HC38,53
D2E1E2,52
C8H8O4,52
C7H5O4,52
P20110,52
P05164,52
F1F2F3,52
Q01469,52
C4H8N3,52
P01877,52
P11210,52
P01833,52
P02461,52
C6H4F2,52
D5S211,52
C5NP00,52
C4S493,52
C4P5Y3,52
P00918,52
P24941,52
P10510,52
P10910,52
C9H7O2,51
T4N0M1,51
P05787,51
C0JM02,51
C4LC01,51
P03372,51
P10599,51
C3GC41,51
C4NR04,51
C5ORF4,51
C4NR06,51
P01375,51
P12310,51
S1A261,51
C8H4O5,51
P20152,51
P02741,51
U2OS17,50
D3S240,50
C4SC01,50
P11610,50
P31946,50
P10000,50
D8S261,50
C4NR02,50
P04626,50
P50AT0,50
C9H8O3,50
P19338,50
M3J1P3,50
C4NR03,50
P12004,50
P12810,50
D9S974,50
C3H7N6,50
H2NCH2,50
H2BK20,50
P13410,50
C4OB02,50
S6S235,49
P14780,49
P12710,49
P02748,49
P13110,49
C1CCC2,49
P27174,49
C5H4N3,49
S1PDZ1,49
P11810,49
P07550,49
P30086,49
L8S4K1,49
B8JIY2,49
U2AF65RRM1,49
D1S228,49
W6B3C1,49
P11510,49
P04196,49
P11410,49
D6S161,49
C2H3N3,49
P60710,49
P40RR0,48
P01241,48
P06241,48
P00519,48
P49411,48
A1B1C1,48
D3S361,48
P01031,48
C4EE01,48
P50CA7,48
C4CC04,48
P63018,48
P27361,48
H2BK37,48
P27169,48
C5OB00,48
P12610,48
P17182,48
P35908,47
P30CA4,47
D2S177,47
P14010,47
P13710,47
P05222,47
P08123,47
T2N1M1,47
D2S132,47
D9S168,47
C1C2W2,47
Q2LQ23,47
P12410,47
P51884,47
C6ORF6,47
C4NR01,47
C4GC01,47
D6S222,47
P05556,47
P12210,47
P25112,46
C6H5C2,46
C7H9N2,46
C4RA06,46
Q15084,46
P13210,46
R1A1A2,46
P12910,46
P16110,46
D8S110,46
D4S162,46
P62988,46
L2E6E7,46
P394U5,46
C4H6O5,46
P13310,46
C2TA00,46
P60711,46
P66614,46
T2DM15,46
R1SP70,46
P10636,46
P00924,46
P05001,46
G4T4G3,46
C2SH48,46
P09936,46
P16410,46
H2BK16,46
P19910,46
C1AAA0,46
P10145,46
P11910,46
P50CA9,45
P11710,45
C5CC01,45
T2CD21,45
C2NP20,45
D7XPN1,45
P68104,45
B3GNT8,45
C5H9N2,45
P00352,45
C0LC00,45
Q01995,45
C3NR04,45
O00299,45
D9S169,45
P40925,45
Q111Q1,45
C4FD00,45
P05362,45
P21810,45
P02786,45
P31949,45
P30DA0,45
D3S159,45
P14410,45
C9ORF3,45
C4TA05,45
H3K4K2,44
O395N1,44
P53674,44
P06753,44
H5N4F1,44
P21796,44
D3S125,44
P13510,44
C5H9N3,44
P450C2,44
D1S207,44
H4A748,44
D9S287,44
P05121,44
P13810,44
C3H5O2,44
C6CPT1,44
C5IB00,44
P31947,44
B8FYU2,44
E1X1X2,44
C2CC37,44
C4RA13,44
P30DK4,44
E2F3P1,44
C9H9N5,44
C4RA05,44
P30DC0,44
P30DK5,44
P08253,44
R5SF16,44
K2HP04,44
C5H6O4,44
U2RTW0,44
H2NSO2,44
B5P189,44
P13610,43
M5S1A8,43
P15010,43
C3EE42,43
P00915,43
Q00610,43
C4H6O2,43
D1S158,43
H5VN04,43
P30ES1,43
P49841,43
C6S298,43
H2AS12,43
C5H5N2,43
P14310,43
P37231,43
C4CC09,43
C6H2O5,43
P13910,43
Q9Y490,43
D3S103,43
C5H8O4,43
C0MB00,43
S2CA17,43
P40926,43
D5S201,43
P14510,42
R2SP70,42
P14810,42
P10275,42
C5NR02,42
C3H6O2,42
C4H8N4,42
C9H5O6,42
P05231,42
P02792,42
P07858,42
P23284,42
P78417,42
D9S157,42
B6T173,42
P01189,42
P04013,42
P14110,42
C4RA12,42
P63244,42
P68371,42
T3N3M1,42
C5SC01,42
C2H6N2,42
P17710,42
B4S4E7,42
C4CC05,42
P31943,42
D4S234,42
E1A289,42
P0C0L5,42
C6H6O4,42
C4MD00,42
P15531,42
D1S507,42
P68431,42
P50HL0,42
P14610,41
P01584,41
D9S283,41
T2N2M1,41
P18669,41
P04275,41
P04080,41
P29401,41
P13500,41
D4S161,41
C6H6N5,41
C6H6N3,41
C4BM00,41
P30EY1,41
P01DA0,41
C4CC06,41
P14710,41
Q71U36,41
D7S187,41
Q00987,41
D4S157,41
C4TA04,41
C3SC52,41
P17661,41
P17252,41
P51OD1,41
P12273,41
D1S243,41
V3C3V4,41
D9S181,41
P01591,41
P14910,41
M5S3E1,40
P42224,40
C9H6O6,40
C4RA09,40
A1R145,40
H1S120,40
P19823,40
Q69YH5,40
P13639,40
P14136,40
C3NP70,40
C0EE00,40
P04003,40
P40001,40
D1S213,40
D7S179,40
C4EE02,40
D9S126,40
P09972,40
C3H5O3,40
P12277,40
D5S209,40
Q04206,40
D4F104,40
C4H7O2,40
C7H7N3,40
E6CT11,40
P20810,40
D9S185,40
P06732,40
X4LIG4,40
C8H4F3,40
C5NR03,40
B3GNT6,40
J6F4X8,40
P01106,40
P12100,40
P40101,40
P31749,40
