matchedPattern,context,lineNumber,columnNumber,publicationName
rs6762405,rs6762405	D3S1292,142,1,Mol_Vis_2009_Jun_4_15_1127-1138.txt
rs6762405,rs6762405	D3S1292,142,1,Mol_Vis_2009_Jun_4_15_1127-1138.txt
