matchedPattern,context,lineNumber,columnNumber,publicationName
AB604176.1,5	Cupriavidus sp.	99	AB604176.1	β-proteobacteria,105,22,PLoS_One_2015_Dec_28_10(12)_e0145057.txt
AB604176.1,8	Cupriavidus sp.	95	AB604176.1	β-proteobacteria,108,22,PLoS_One_2015_Dec_28_10(12)_e0145057.txt
