matchedPattern,context,lineNumber,columnNumber,publicationName
4.2.99.21,... 2.1.1.274; 3.1.1.55; 3.7.1.8; 4.1.1.91; 4.1.1.-; 4.2.99.21,379,122,PLoS_One_2015_Oct_1_10(10)_e0139467.txt
4.2.99.21,... 2.1.1.274; 3.1.1.55; 3.7.1.8; 4.1.1.91; 4.1.1.-; 4.2.99.21,379,122,PLoS_One_2015_Oct_1_10(10)_e0139467.txt
