matchedPattern,context,lineNumber,columnNumber,publicationName
EOG6KKWHX,EOG6KKWHX	argonaute-2	Small RNA regulatory pathway...,311,1,Genome_Biol_2015_Apr_24_16(1)_83.txt
EOG6KKWHX,EOG6KKWHX	argonaute-2	Small RNA regulatory pathway...,372,1,Genome_Biol_2015_Apr_24_16(1)_83.txt
EOG6KKWHX,EOG6KKWHX	argonaute-2	Small RNA regulatory pathway...,497,1,Genome_Biol_2015_Apr_24_16(1)_83.txt
EOG6KKWHX,EOG6KKWHX	argonaute-2	Small RNA regulatory pathway...,559,1,Genome_Biol_2015_Apr_24_16(1)_83.txt
