matchedPattern,context,lineNumber,columnNumber,publicationName
PS00932,"PS00490	PS00551	PS00932	11	Pat 5	Molybdopt. OR [e.g., 1.2.2.1]",153,18,Front_Microbiol_2014_Apr_7_5_134.txt
PS00932,"PS00490	PS00551	PS00932	11	Pat 5	Molybdopt. OR [e.g., 1.2.2.1]",153,18,Front_Microbiol_2014_Apr_7_5_134.txt
