matchedPattern,context,lineNumber,columnNumber,publicationName
PS50104,TIR domain	PS50104,31,13,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS50104,TIR domain	PS50104,31,13,PLoS_One_2010_Dec_28_5(12)_e15906.txt
