matchedPattern,context,lineNumber,columnNumber,publicationName
TS-0830,TS-0830–6	2+	0.889	Pos	0.799/0...,62,0,Emerg_Infect_Dis_2007_Oct_13(10)_1604-1607.txt
TS-0830,TS-0830–8	3+	2.014	Pos	0.800/0...,64,0,Emerg_Infect_Dis_2007_Oct_13(10)_1604-1607.txt
TS-0830,TS-0830–9	4+	1.949	Pos	0.884/0...,65,0,Emerg_Infect_Dis_2007_Oct_13(10)_1604-1607.txt
TS-0830,TS-0830–18	4+	2.112	Pos	1.180/...,66,0,Emerg_Infect_Dis_2007_Oct_13(10)_1604-1607.txt
TS-0830,TS-0830–20	3+	1.427	Pos	0.820/...,67,0,Emerg_Infect_Dis_2007_Oct_13(10)_1604-1607.txt
