matchedPattern,context,lineNumber,columnNumber,publicationName
CVCL_6911,"...L_0470), human HEK-293FT (Invitrogen R70007; RRID:CVCL_6911), human HEK-293T (ATCC CRL-3216; RRID:CV...",248,1135,PMC5293492.txt
CVCL_6911,"... al., 1996). HEK293FT cells (Gibco; R700–07; RRID:CVCL_6911) plated on a poly-L-lysine (Sigma-Aldric...",263,170,PMC5323041.txt
