matchedPattern,context,lineNumber,columnNumber,publicationName
4.3.16.13,4.3.16.13	2_1036	4.2	593	ABF39004.1	phenylcoumaran...,157,1,BMC_Genomics_2011_May_24_12_264.txt
4.3.16.13,4.3.16.13	2_1036	4.2	593	ABF39004.1	phenylcoumaran...,157,1,BMC_Genomics_2011_May_24_12_264.txt
