matchedPattern,context,lineNumber,columnNumber,publicationName
EOG6RV16R,EOG6RV16R-1	BGRP-1	GNBP	459	9.619	0.00096	0.02812	...,435,1,Genome_Biol_2015_Apr_24_16(1)_83.txt
EOG6RV16R,EOG6RV16R-1	BGRP-1	GNBP	459	9.363	0.00111	0.01951	...,492,1,Genome_Biol_2015_Apr_24_16(1)_83.txt
