matchedPattern,context,lineNumber,columnNumber,publicationName
rs2279343,CYP2B6	rs2279343	NA	0	NA	NA	NA	NA,144,8,Hum_Genomics_2011_May_1_5(4)_265-282.txt
rs2279343,CYP2B6	rs2279343	NA	0	NA	NA	NA	NA,144,8,Hum_Genomics_2011_May_1_5(4)_265-282.txt
