matchedPattern,context,lineNumber,columnNumber,publicationName
p.Asn321fs,...elACCCC) leading to a shift of the reading frame (p.Asn321fs) and a premature termination codon impl...,3,1973,NDT_Plus_2009_Apr_9_2(2)_127-129.txt
p.Asn321fs,"...2 gene (Fig. 1 A, B). It results in a frameshift (p.Asn321fs). The mutation affects the 7th transmem...",33,185,NDT_Plus_2009_Apr_9_2(2)_127-129.txt
p.Asn321fs,"... the full phenotype, it may be concluded that the p.Asn321fs mutation completely disrupts the affect...",38,338,NDT_Plus_2009_Apr_9_2(2)_127-129.txt
