matchedPattern,context,lineNumber,columnNumber,publicationName
PS00931,"Cutinase, aspartate and histidine active sites	PS00931",75,48,Microb_Cell_Fact_2008_May_22_7_16.txt
PS00931,"Cutinase, aspartate and histidine active sites	PS00931",75,48,Microb_Cell_Fact_2008_May_22_7_16.txt
