matchedPattern,context,lineNumber,columnNumber,publicationName
AB055624.1,M	AB055624.1	Ija-Mor,86,4,BMC_Genomics_2016_Aug_9_17_597.txt
AB055624.1,M	AB055624.1	Ija-Mcox,88,3,BMC_Genomics_2016_Aug_9_17_597.txt
AB055624.1,M	AB055624.1	Ija-Matp,90,3,BMC_Genomics_2016_Aug_9_17_597.txt
