matchedPattern,context,lineNumber,columnNumber,publicationName
CVCL_V978,"...CVCL_L623; AG09602, RRID:CVCL_L607; AG16409, RRID:CVCL_V978; AG06234, RRID:CVCL_2B66; AG04062, RRID:...",121,665,eLife_5_e18648.txt
CVCL_V978,"...CVCL_2A47; AG08433, RRID:CVCL_L625; AG16409, RRID:CVCL_V978; GM00302, RRID:CVCL_7277; AG01518, RRID:...",121,765,eLife_5_e18648.txt
